Date,HomeOdds,OverUnder,AwayTeam,HomeTeam
14-04-2019,-180,8,Pittsburgh Pirates,Washington Nationals
14-04-2019,110,10,St. Louis Cardinals,Cincinnati Reds
14-04-2019,-102,7,Colorado Rockies,San Francisco Giants
14-04-2019,-135,8,San Diego Padres,Arizona Diamondbacks
14-04-2019,-140,9,Milwaukee Brewers,Los Angeles Dodgers
14-04-2019,140,8.5,New York Mets,Atlanta Braves
14-04-2019,-200,9,Chicago White Sox,New York Yankees
14-04-2019,-260,9.5,Baltimore Orioles,Boston Red Sox
14-04-2019,118,8,Tampa Bay Rays,Toronto Blue Jays
14-04-2019,-240,8,Detroit Tigers,Minnesota Twins
14-04-2019,120,7.5,Cleveland Indians,Kansas City Royals
14-04-2019,135,10,Oakland Athletics,Texas Rangers
14-04-2019,170,7.5,Houston Astros,Seattle Mariners
15-04-2019,-113,7.5,New York Mets,Philadelphia Phillies
15-04-2019,125,8,Chicago Cubs,Miami Marlins
15-04-2019,-135,9.5,St. Louis Cardinals,Milwaukee Brewers
15-04-2019,-185,7.5,Cincinnati Reds,Los Angeles Dodgers
15-04-2019,-160,7.5,Colorado Rockies,San Diego Padres
15-04-2019,-260,11,Baltimore Orioles,Boston Red Sox
15-04-2019,-120,8.5,Toronto Blue Jays,Minnesota Twins
15-04-2019,112,10.5,Los Angeles Angels,Texas Rangers
15-04-2019,-116,9.5,Kansas City Royals,Chicago White Sox
15-04-2019,103,7,Cleveland Indians,Seattle Mariners
16-04-2019,-115,9,New York Mets,Philadelphia Phillies
16-04-2019,-174,8,San Francisco Giants,Washington Nationals
16-04-2019,120,8,Chicago Cubs,Miami Marlins
16-04-2019,-135,8.5,Arizona Diamondbacks,Atlanta Braves
16-04-2019,-121,9,St. Louis Cardinals,Milwaukee Brewers
16-04-2019,-107,7.5,Colorado Rockies,San Diego Padres
16-04-2019,-168,8.5,Cincinnati Reds,Los Angeles Dodgers
16-04-2019,-107,8.5,Boston Red Sox,New York Yankees
16-04-2019,-245,8,Baltimore Orioles,Tampa Bay Rays
16-04-2019,-150,9,Toronto Blue Jays,Minnesota Twins
16-04-2019,-115,10,Los Angeles Angels,Texas Rangers
16-04-2019,-120,9,Kansas City Royals,Chicago White Sox
16-04-2019,138,9,Houston Astros,Oakland Athletics
16-04-2019,115,8,Cleveland Indians,Seattle Mariners
16-04-2019,-112,7.5,Pittsburgh Pirates,Detroit Tigers
17-04-2019,-110,8.5,New York Mets,Philadelphia Phillies
17-04-2019,-130,10,St. Louis Cardinals,Milwaukee Brewers
17-04-2019,-170,8,Cincinnati Reds,Los Angeles Dodgers
17-04-2019,-145,8.5,San Francisco Giants,Washington Nationals
17-04-2019,155,8,Chicago Cubs,Miami Marlins
17-04-2019,-165,9,Arizona Diamondbacks,Atlanta Braves
17-04-2019,105,8.5,Kansas City Royals,Chicago White Sox
17-04-2019,-114,9,Boston Red Sox,New York Yankees
17-04-2019,118,7.5,Cleveland Indians,Seattle Mariners
17-04-2019,-250,8,Baltimore Orioles,Tampa Bay Rays
17-04-2019,-160,8.5,Toronto Blue Jays,Minnesota Twins
17-04-2019,-125,10.5,Los Angeles Angels,Texas Rangers
17-04-2019,-109,8.5,Houston Astros,Oakland Athletics
17-04-2019,-102,8.5,Pittsburgh Pirates,Detroit Tigers
18-04-2019,-168,8.5,Arizona Diamondbacks,Atlanta Braves
18-04-2019,-194,7.5,San Francisco Giants,Washington Nationals
18-04-2019,-102,9.5,Los Angeles Dodgers,Milwaukee Brewers
18-04-2019,-118,10.5,Philadelphia Phillies,Colorado Rockies
18-04-2019,-170,7.5,Cincinnati Reds,San Diego Padres
18-04-2019,-105,8.5,Chicago White Sox,Detroit Tigers
18-04-2019,-172,8,Toronto Blue Jays,Minnesota Twins
18-04-2019,-200,9,Kansas City Royals,New York Yankees
18-04-2019,-250,8.5,Baltimore Orioles,Tampa Bay Rays
18-04-2019,-120,10,Seattle Mariners,Los Angeles Angels
19-04-2019,-164,7,Arizona Diamondbacks,Chicago Cubs
19-04-2019,105,7,San Francisco Giants,Pittsburgh Pirates
19-04-2019,113,7.5,Washington Nationals,Miami Marlins
19-04-2019,104,9.5,Los Angeles Dodgers,Milwaukee Brewers
19-04-2019,-149,9,New York Mets,St. Louis Cardinals
19-04-2019,-148,10.5,Philadelphia Phillies,Colorado Rockies
19-04-2019,-128,8,Cincinnati Reds,San Diego Padres
19-04-2019,-160,8.5,Kansas City Royals,New York Yankees
19-04-2019,-106,8.5,Chicago White Sox,Detroit Tigers
19-04-2019,102,8.5,Boston Red Sox,Tampa Bay Rays
19-04-2019,200,9.5,Houston Astros,Texas Rangers
19-04-2019,-120,9,Seattle Mariners,Los Angeles Angels
19-04-2019,-132,8,Toronto Blue Jays,Oakland Athletics
20-04-2019,-144,9,New York Mets,St. Louis Cardinals
20-04-2019,-133,7,Arizona Diamondbacks,Chicago Cubs
20-04-2019,-132,7,San Francisco Giants,Pittsburgh Pirates
20-04-2019,225,7,Washington Nationals,Miami Marlins
20-04-2019,113,9,Los Angeles Dodgers,Milwaukee Brewers
20-04-2019,132,9,Philadelphia Phillies,Colorado Rockies
20-04-2019,-106,7,Cincinnati Reds,San Diego Padres
20-04-2019,-250,8.5,Kansas City Royals,New York Yankees
20-04-2019,-147,8,Toronto Blue Jays,Oakland Athletics
20-04-2019,-138,8.5,Boston Red Sox,Tampa Bay Rays
20-04-2019,128,10,Minnesota Twins,Baltimore Orioles
20-04-2019,225,10,Houston Astros,Texas Rangers
20-04-2019,-116,8.5,Seattle Mariners,Los Angeles Angels
20-04-2019,-134,8.5,Atlanta Braves,Cleveland Indians
20-04-2019,-160,8,Atlanta Braves,Cleveland Indians
20-04-2019,180,9,Minnesota Twins,Baltimore Orioles
21-04-2019,150,7,Washington Nationals,Miami Marlins
21-04-2019,-142,7,San Francisco Giants,Pittsburgh Pirates
21-04-2019,119,8.5,Los Angeles Dodgers,Milwaukee Brewers
21-04-2019,122,9,New York Mets,St. Louis Cardinals
21-04-2019,-107,9.5,Arizona Diamondbacks,Chicago Cubs
21-04-2019,-142,10.5,Philadelphia Phillies,Colorado Rockies
21-04-2019,-162,7.5,Cincinnati Reds,San Diego Padres
21-04-2019,140,9,Minnesota Twins,Baltimore Orioles
21-04-2019,-200,7.5,Kansas City Royals,New York Yankees
21-04-2019,-110,9,Chicago White Sox,Detroit Tigers
21-04-2019,-110,8,Boston Red Sox,Tampa Bay Rays
21-04-2019,170,10.5,Houston Astros,Texas Rangers
21-04-2019,-150,8,Toronto Blue Jays,Oakland Athletics
