ParkYear,Park,Park_RunsFactor,Park_HRFactor,Park_HFactor,Park_2BFactor,Park_3BFactor,Park_BBFactor
2014,Philadelphia Phillies,0.929,1.214,0.974,0.911,0.844,1.004
2014,San Francisco Giants,0.92,0.677,0.951,0.916,1.813,0.985
2014,Los Angeles Angels,0.919,0.837,0.982,0.993,0.552,0.915
2014,Los Angeles Dodgers,0.907,1.226,0.91,1.058,0.348,0.837
2014,New York Mets,0.847,0.956,0.918,1.038,0.667,0.983
2014,San Diego Padres,0.826,0.808,0.916,0.905,0.962,1.058
2014,Seattle Mariners,0.825,1.053,0.89,0.789,0.472,0.88
2014,Oakland Athletics,0.775,0.628,0.946,0.956,0.75,0.938
2013,Colorado Rockies,1.273,1.169,1.163,1.117,1.72,0.992
2013,Chicago Cubs,1.192,1.115,1.104,1.121,0.889,1.044
2013,Detroit Tigers,1.139,1.013,1.045,1.103,1.684,1.056
2013,Toronto Blue Jays,1.118,1.289,1.026,1.476,0.531,1.095
2013,Milwaukee Brewers,1.11,1.259,1.081,1.041,1.069,1.166
2013,Philadelphia Phillies,1.107,1.517,0.987,1.047,1.061,1.042
2013,New York Yankees,1.087,1.128,1.046,0.957,0.727,1.081
2013,Kansas City Royals,1.082,0.88,1.036,1.059,1.522,0.993
2013,Houston Astros,1.074,1.23,1.013,0.902,1.375,1.105
2013,Baltimore Orioles,1.057,1.275,0.988,0.862,0.636,1.011
2013,Miami Marlins,1.03,0.636,1.007,1.135,1.324,1.043
2013,Minnesota Twins,1.02,0.802,1.027,1.117,1.045,0.842
2013,Washington Nationals,1.013,0.804,1.089,1.051,0.577,0.966
2013,Chicago White Sox,0.998,1.185,0.947,0.761,0.414,1.16
2013,Seattle Mariners,0.991,0.885,1.008,1.112,0.63,0.952
2013,Cincinnati Reds,0.989,1.338,0.99,1.081,0.82,0.997
2013,Texas Rangers,0.985,0.903,0.991,0.877,0.672,1.106
2013,Arizona Diamondbacks,0.974,0.949,0.944,1.01,1.375,0.98
2013,Los Angeles Angels,0.968,0.902,1.014,0.958,1,0.989
2013,Boston Red Sox,0.96,0.845,0.996,1.176,1.292,0.915
2013,Atlanta Braves,0.956,0.925,0.987,0.924,1.25,0.945
2013,Cleveland Indians,0.933,1.078,0.976,0.996,0.63,0.918
2013,Tampa Bay Rays,0.931,0.975,0.958,0.901,1.67,0.966
2013,Pittsburgh Pirates,0.907,0.679,0.989,0.858,0.688,0.881
2013,St. Louis Cardinals,0.892,0.837,0.931,0.869,0.75,0.898
2013,San Francisco Giants,0.869,0.768,0.962,1.022,1.951,1.097
2013,Los Angeles Dodgers,0.868,0.963,0.958,0.926,0.458,0.843
2013,New York Mets,0.867,1.12,0.894,0.838,0.7,1.025
2013,San Diego Padres,0.831,0.936,0.901,0.773,1.133,1
2013,Oakland Athletics,0.775,0.628,0.946,0.956,0.75,0.938
2012,Colorado Rockies,1.579,1.493,1.276,1.223,1.971,1.082
2012,Chicago White Sox,1.268,1.349,1.081,1.133,0.885,1.206
2012,Boston Red Sox,1.206,1.088,1.173,1.494,1.389,1.036
2012,Texas Rangers,1.183,1.168,1.117,1.157,1.029,1
2012,Baltimore Orioles,1.173,1.314,1.099,1.065,0.684,1.027
2012,Arizona Diamondbacks,1.171,1.192,1.064,1.176,1.176,0.955
2012,Milwaukee Brewers,1.168,1.631,0.997,0.987,1.333,1.06
2012,Cincinnati Reds,1.113,1.592,1.017,0.848,1.167,1.036
2012,Detroit Tigers,1.071,1.026,1.031,0.923,1.533,0.977
2012,Minnesota Twins,1.044,1.031,1.03,0.989,1.905,1.082
2012,Atlanta Braves,1.038,0.873,1.011,1.197,1.04,1.038
2012,Kansas City Royals,1.034,1.028,1.037,1.025,1.257,0.987
2012,Chicago Cubs,1.024,0.962,0.981,1.077,0.93,1.134
2012,Washington Nationals,1.023,1.044,1.063,1,1.192,0.944
2012,Toronto Blue Jays,1.008,1.03,0.992,1.075,1.312,0.914
2012,Miami Marlins,1.005,0.72,0.995,0.938,1.257,1.027
2012,New York Yankees,0.992,1.143,0.927,0.881,0.423,1.008
2012,St. Louis Cardinals,0.985,0.915,1.047,1.137,0.816,0.95
2012,Philadelphia Phillies,0.968,1.087,0.952,0.989,0.71,1.08
2012,Houston Astros,0.937,0.981,0.968,0.954,0.914,1.047
2012,Cleveland Indians,0.899,0.925,0.985,1.038,0.326,0.957
2012,New York Mets,0.874,1.069,0.918,0.785,0.629,0.966
2012,Tampa Bay Rays,0.874,0.774,0.914,0.922,1.286,1.004
2012,Los Angeles Dodgers,0.867,1.125,0.972,0.824,0.486,0.973
2012,San Diego Padres,0.854,0.626,0.96,0.967,1.257,1.004
2012,Los Angeles Angels,0.812,0.759,0.906,0.909,1.095,0.769
2012,Pittsburgh Pirates,0.764,0.631,0.871,1.037,0.718,0.796
2012,San Francisco Giants,0.737,0.522,0.901,0.893,0.808,1.021
2012,Seattle Mariners,0.687,0.583,0.831,0.709,0.528,1.002
2012,Oakland Athletics,0.775,0.628,0.946,0.956,0.75,0.938
2011,Texas Rangers,1.409,1.5,1.134,1.188,2.333,1.03
2011,Colorado Rockies,1.347,1.354,1.182,1.237,1.14,1.024
2011,Boston Red Sox,1.173,0.88,1.159,1.312,1.148,0.975
2011,Toronto Blue Jays,1.152,1.186,1.121,1.331,1.68,0.994
2011,Arizona Diamondbacks,1.146,1.095,1.06,1.151,1.379,0.927
2011,New York Yankees,1.131,1.267,1.036,0.989,0.839,1.025
2011,Houston Astros,1.1,1.16,1.034,1.185,0.967,1.062
2011,Cincinnati Reds,1.082,1.314,0.99,0.853,0.704,0.914
2011,Detroit Tigers,1.061,0.987,1.047,1.014,2.316,0.866
2011,Milwaukee Brewers,1.041,1.062,1.058,1.089,1.269,1.084
2011,Philadelphia Phillies,0.997,0.95,0.972,1.024,0.806,1.015
2011,Baltimore Orioles,0.995,1.144,0.993,1.09,0.739,1.043
2011,Kansas City Royals,0.992,0.708,1.005,1.006,1.4,1.103
2011,Chicago White Sox,0.991,1.23,0.959,0.88,0.679,1.235
