Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
RP,Jimmy Herget (17266576),Jimmy Herget,17266576,P,5000,LAA@TEX 04/26/2021 08:05PM ET,TEX,0
RP,Noe Ramirez (17266578),Noe Ramirez,17266578,P,5000,LAA@TEX 04/26/2021 08:05PM ET,LAA,0
SP,Jharel Cotton (17266580),Jharel Cotton,17266580,P,5000,LAA@TEX 04/26/2021 08:05PM ET,TEX,0
RP,Nick Vincent (17266583),Nick Vincent,17266583,P,5000,LAA@TEX 04/26/2021 08:05PM ET,TEX,0
RP,Jake Reed (17266587),Jake Reed,17266587,P,5000,LAA@TEX 04/26/2021 08:05PM ET,LAA,0
RP,Josh Sborz (17266588),Josh Sborz,17266588,P,5000,LAA@TEX 04/26/2021 08:05PM ET,TEX,2.34
SP,Hans Crouse (17266589),Hans Crouse,17266589,P,5000,LAA@TEX 04/26/2021 08:05PM ET,TEX,0
RP,Ben Rowen (17266590),Ben Rowen,17266590,P,5000,LAA@TEX 04/26/2021 08:05PM ET,LAA,3.01
RP,Tony Watson (17266591),Tony Watson,17266591,P,5000,LAA@TEX 04/26/2021 08:05PM ET,LAA,2.71
SP,Reid Detmers (17266593),Reid Detmers,17266593,P,5000,LAA@TEX 04/26/2021 08:05PM ET,LAA,0
RP,Alex Claudio (17266595),Alex Claudio,17266595,P,5000,LAA@TEX 04/26/2021 08:05PM ET,LAA,2.06
RP,Luis Ortiz (17266596),Luis Ortiz,17266596,P,5000,LAA@TEX 04/26/2021 08:05PM ET,TEX,0
SP,Ian Kennedy (17266601),Ian Kennedy,17266601,P,5000,LAA@TEX 04/26/2021 08:05PM ET,TEX,3.58
RP,Gerardo Reyes (17266604),Gerardo Reyes,17266604,P,5000,LAA@TEX 04/26/2021 08:05PM ET,LAA,0
RP,Felix Pena (17266605),Felix Pena,17266605,P,5000,LAA@TEX 04/26/2021 08:05PM ET,LAA,0
RP,Joely Rodriguez (17266606),Joely Rodriguez,17266606,P,5000,LAA@TEX 04/26/2021 08:05PM ET,TEX,3.4
RP,Taylor Hearn (17266607),Taylor Hearn,17266607,P,5000,LAA@TEX 04/26/2021 08:05PM ET,TEX,3.63
