Player,OBP_zips,SLG_zips,ISO_zips,BABIP_zips
Bobby Bradley,0.293,0.436,0.212,0.289
Abraham Almonte,0.311,0.388,0.142,0.303
Adam Moore,0.261,0.315,0.107,0.303
Greg Allen,0.302,0.319,0.085,0.289
Willi Castro,0.277,0.381,0.135,0.295
Dorssys Paulino,0.3,0.347,0.118,0.301
Mark Mathias,0.28,0.32,0.109,0.285
Josh Wilson,0.267,0.323,0.111,0.278
Gavin Collins,0.279,0.364,0.141,0.29
Drew Maggi,0.293,0.297,0.076,0.286
Dan Robertson,0.318,0.353,0.087,0.308
David Lough,0.271,0.317,0.098,0.268
Richie Shaffer,0.289,0.397,0.195,0.295
Joe Sever,0.265,0.325,0.104,0.286
Mike Papi,0.301,0.34,0.13,0.274
Brandon Barnes,0.264,0.331,0.114,0.3
Jordan Smith,0.26,0.294,0.09,0.278
Michael Martinez,0.269,0.308,0.08,0.285
Tyler Krieger,0.279,0.324,0.106,0.3
Nellie Rodriguez,0.258,0.361,0.186,0.293
Nicholas Castellanos,0.333,0.52,0.235,0.331
Miguel Cabrera,0.359,0.475,0.191,0.322
Jeimer Candelario,0.317,0.419,0.171,0.302
Leonys Martin,0.299,0.394,0.14,0.307
James McCann,0.305,0.397,0.145,0.31
Dawel Lugo,0.296,0.416,0.149,0.289
Jose Iglesias,0.306,0.357,0.091,0.293
Derek Norris,0.308,0.405,0.165,0.289
Dixon Machado,0.305,0.333,0.088,0.288
Mikie Mahtook,0.306,0.408,0.154,0.313
John Hicks,0.272,0.373,0.134,0.299
Grayson Greiner,0.272,0.349,0.13,0.278
Jake Rogers,0.267,0.333,0.135,0.242
Mike Gerber,0.289,0.401,0.166,0.307
Kody Eaves,0.278,0.366,0.146,0.29
Bryan Holaday,0.274,0.373,0.139,0.26
Victor Martinez,0.33,0.401,0.133,0.292
Ronny Rodriguez,0.276,0.383,0.137,0.29
JaCoby Jones,0.268,0.352,0.143,0.297
Steven Moya,0.268,0.455,0.223,0.293
Jason Krizan,0.306,0.368,0.118,0.271
Troy Montgomery,0.303,0.361,0.126,0.281
Chad Huffman,0.32,0.41,0.174,0.284
Edwin Espinal,0.285,0.373,0.121,0.286
Matt den Dekker,0.291,0.362,0.139,0.291
Pete Kozma,0.257,0.269,0.07,0.253
Christin Stewart,0.301,0.416,0.189,0.3
Brayan Pena,0.298,0.31,0.052,0.279
Alex Presley,0.288,0.339,0.098,0.285
Brendan Ryan,0.262,0.268,0.067,0.254
Zack Cox,0.29,0.322,0.086,0.315
Alexi Amarista,0.291,0.329,0.08,0.294
