Player,ISO_zips,BABIP_zips,OBP_zips,SLG_zips
Colin Walsh,0.102,0.287,0.309,0.3
Balbino Fuenmayor,0.135,0.309,0.274,0.383
Blake Lalli,0.068,0.276,0.268,0.29
Joey Meneses,0.101,0.297,0.275,0.332
Braxton Davidson,0.143,0.321,0.274,0.317
Yoenis Cespedes,0.233,0.29,0.317,0.498
Neil Walker,0.179,0.288,0.329,0.442
Michael Conforto,0.215,0.285,0.324,0.466
Curtis Granderson,0.195,0.27,0.331,0.433
Asdrubal Cabrera,0.169,0.292,0.316,0.428
Lucas Duda,0.235,0.274,0.343,0.477
Brandon Nimmo,0.134,0.316,0.328,0.384
Kevin Plawecki,0.11,0.279,0.302,0.354
Gavin Cecchini,0.117,0.292,0.316,0.378
Travis d'Arnaud,0.145,0.281,0.309,0.393
Juan Lagares,0.109,0.302,0.291,0.361
Wilmer Flores,0.158,0.278,0.303,0.42
T.J. Rivera,0.103,0.3,0.299,0.364
Jose Reyes,0.124,0.291,0.316,0.391
Jay Bruce,0.193,0.282,0.305,0.437
David Wright,0.134,0.311,0.332,0.38
Tomas Nido,0.138,0.264,0.254,0.362
Rene Rivera,0.115,0.279,0.281,0.341
Travis Taijeron,0.19,0.307,0.294,0.393
Amed Rosario,0.103,0.297,0.275,0.333
Matt Reynolds,0.102,0.291,0.276,0.326
Johnny Monell,0.11,0.285,0.291,0.347
Dominic Smith,0.133,0.298,0.306,0.391
Eric Campbell,0.116,0.282,0.324,0.35
Kelly Johnson,0.166,0.277,0.3,0.406
Roger Bernadina,0.126,0.283,0.288,0.334
Ty Kelly,0.099,0.282,0.323,0.339
Victor Cruzado,0.111,0.282,0.288,0.326
Xorge Carrillo,0.097,0.259,0.276,0.312
Phillip Evans,0.095,0.292,0.282,0.332
Niuman Romero,0.067,0.28,0.298,0.299
Luis Guillorme,0.049,0.283,0.285,0.28
Raywilly Gomez,0.06,0.289,0.315,0.311
Marc Krauss,0.159,0.266,0.297,0.365
L.J. Mazzilli,0.099,0.279,0.283,0.326
Jhoan Urena,0.125,0.273,0.27,0.344
David Thompson,0.134,0.286,0.271,0.364
Matt Oberste,0.123,0.288,0.278,0.356
Wuilmer Becerra,0.113,0.299,0.266,0.343
Champ Stuart,0.092,0.298,0.224,0.248
Odubel Herrera,0.127,0.354,0.34,0.408
Maikel Franco,0.193,0.291,0.322,0.463
J.P. Crawford,0.115,0.291,0.325,0.364
Michael Saunders,0.196,0.304,0.336,0.446
Cesar Hernandez,0.089,0.34,0.341,0.36
